model,datatype,sort_mode,rmse,mae,mape,acc@10,acc@20,acc@30,hidden,embedding,num_head,num_block,stop_epoch,train_time,test_time,batch,lr,epoch,train_mode,time,is_test
RankPETA,order,pnn_idx,15.595436876445222,12.731316566467285,1.0855921506881714,0.4345991561181435,0.7932489451476793,0.9662447257383966,8,32,2,4,69,gatv2,tft,64,0.001,1000,sort,2023-12-02 10:22:20,False
RankPETA,order,pnn_order,14.428265148834704,11.640521049499512,1.0002082586288452,0.4936708860759494,0.8354430379746836,0.9662447257383966,8,32,2,4,148,gcn,gru,64,0.001,1000,sort,2023-12-02 10:30:33,False
RankPETA,order,pnn_idx,11.907362998544286,9.456214904785156,0.8535221219062805,0.6118143459915611,0.919831223628692,0.9831223628691983,8,64,4,4,99,gcn,tft,64,0.001,1000,sort,2023-12-02 10:32:41,False
RankPETA,order,pnn_idx,19.849750722862133,16.352619171142578,1.5501646995544434,0.34177215189873417,0.6286919831223629,0.8818565400843882,8,32,4,4,124,gatv2,gru,64,0.001,1000,sort,2023-12-02 10:41:22,False
RankPETA,order,pnn_idx,13.377473691551934,10.635852813720703,0.8963583707809448,0.540084388185654,0.8734177215189873,0.9746835443037974,8,64,2,4,71,gatv2,gru,64,0.001,1000,sort,2023-12-02 11:22:28,False
RankPETA,order,pnn_idx,15.084740392204147,12.338961601257324,1.1465052366256714,0.45147679324894513,0.7890295358649789,0.9578059071729957,8,64,4,4,33,gatv2,gru,64,0.001,1000,sort,2023-12-02 11:41:28,False
RankPETA,order,pnn_order,14.274282546310832,11.364787101745605,1.0418682098388672,0.5189873417721519,0.8523206751054853,0.9662447257383966,8,32,2,2,37,gatv2,gru,64,0.001,1000,sort,2023-12-02 12:02:52,False
RankPETA,order,pnn_order,13.321885216906121,10.645895957946777,0.9564071297645569,0.5654008438818565,0.869198312236287,0.9620253164556962,8,32,2,2,59,gcn,tft,64,0.001,1000,sort,2023-12-02 12:17:14,False
RankPETA,order,pnn_idx,14.163614340676121,11.396231651306152,1.0716416835784912,0.48945147679324896,0.8523206751054853,0.9789029535864979,8,32,4,4,80,gatv2,tft,64,0.001,1000,sort,2023-12-02 12:53:48,False
RankPETA,order,pnn_order,12.087147568907193,9.630000114440918,0.845818817615509,0.5907172995780591,0.9240506329113924,0.9746835443037974,8,32,4,2,119,gatv2,gru,64,0.001,1000,sort,2023-12-02 13:17:25,False
RankPETA,order,pnn_order,11.509755516339105,9.113286972045898,0.7440767288208008,0.6329113924050633,0.9240506329113924,0.9831223628691983,8,32,4,4,301,gcn,gru,64,0.001,1000,sort,2023-12-02 13:30:41,False
RankPETA,order,pnn_order,12.259349758210695,9.587255477905273,0.859650731086731,0.620253164556962,0.9071729957805907,0.9746835443037974,8,32,4,2,50,gcn,tft,64,0.001,1000,sort,2023-12-02 13:47:19,False
RankPETA,order,pnn_order,12.34488968235566,9.931403160095215,0.8060108423233032,0.5611814345991561,0.9071729957805907,0.9831223628691983,8,64,2,4,135,gcn,gru,64,0.001,1000,sort,2023-12-02 14:47:17,False
RankPETA,order,pnn_idx,14.749390153077357,11.600207328796387,1.0816409587860107,0.510548523206751,0.8270042194092827,0.9535864978902954,8,64,2,4,70,gatv2,tft,64,0.001,1000,sort,2023-12-02 15:07:06,False
RankPETA,order,pnn_order,13.470052775596084,10.572497367858887,0.9258047938346863,0.5569620253164557,0.8776371308016878,0.9746835443037974,8,64,2,2,48,gcn,tft,64,0.001,1000,sort,2023-12-02 15:12:37,False
RankPETA,order,pnn_order,11.578491369878192,8.988587379455566,0.749954104423523,0.6455696202531646,0.9240506329113924,0.9789029535864979,8,64,2,2,199,gatv2,gru,64,0.001,1000,sort,2023-12-02 15:19:21,False
RankPETA,order,pnn_order,12.833245875733514,10.214576721191406,0.9519117474555969,0.5654008438818565,0.8860759493670886,0.9789029535864979,8,64,4,4,204,gcn,gru,64,0.001,1000,sort,2023-12-02 16:41:33,False
RankPETA,order,pnn_order,11.21662767997719,8.744546890258789,0.6953945159912109,0.6751054852320675,0.9535864978902954,0.9873417721518988,8,64,4,2,157,gatv2,gru,64,0.001,1000,sort,2023-12-02 16:48:33,False
